DayChuyen  750       Bac        7
DongHo     3500      Vang       3
VongCo     980       Da         6
VongChan   430       Da         15
tuan      2         000       203       
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
hi        0         #         0         
tuankiki  299       daychuyen 9999      
